quxian_url,shangquan,start_url
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,陆家嘴,http://fangjia.fang.com//pghouse-c0sh/a025-b01633-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,南码头,http://fangjia.fang.com//pghouse-c0sh/a025-b014157-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,三林,http://fangjia.fang.com//pghouse-c0sh/a025-b01637-h315/
http://fangjia.fang.com/pghouse-c0sh/a030-h315/,大场镇,http://fangjia.fang.com//pghouse-c0sh/a030-b010256-h315/
http://fangjia.fang.com/pghouse-c0sh/a027-h315/,不夜城,http://fangjia.fang.com//pghouse-c0sh/a027-b01653-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,世博,http://fangjia.fang.com//pghouse-c0sh/a025-b03990-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,世纪公园,http://fangjia.fang.com//pghouse-c0sh/a025-b01640-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,塘桥,http://fangjia.fang.com//pghouse-c0sh/a025-b01644-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,唐镇,http://fangjia.fang.com//pghouse-c0sh/a025-b05236-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,外高桥,http://fangjia.fang.com//pghouse-c0sh/a025-b03991-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,潍坊,http://fangjia.fang.com//pghouse-c0sh/a025-b013418-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,新场,http://fangjia.fang.com//pghouse-c0sh/a025-b05930-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,杨东,http://fangjia.fang.com//pghouse-c0sh/a025-b013080-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,洋泾,http://fangjia.fang.com//pghouse-c0sh/a025-b01642-h315/
http://fangjia.fang.com/pghouse-c0sh/a025-h315/,源深,http://fangjia.fang.com//pghouse-c0sh/a025-b01641-h315/
